iter	Passed	Remaining
849	2083	367
850	2084	365
851	2086	362
852	2088	359
853	2090	357
854	2091	354
855	2093	352
856	2095	349
857	2097	347
858	2100	344
859	2101	342
860	2103	339
861	2105	337
862	2106	334
863	2108	331
864	2109	329
865	2111	326
866	2113	324
867	2114	321
868	2116	319
869	2118	316
870	2119	313
871	2121	311
872	2122	308
873	2124	306
874	2127	303
875	2130	301
876	2132	299
877	2134	296
878	2136	294
879	2137	291
880	2175	293
881	2176	291
882	2178	288
883	2181	286
884	2183	283
885	2185	281
886	2187	278
887	2189	276
888	2190	273
889	2192	270
890	2194	268
891	2195	265
892	2197	263
893	2199	260
894	2200	258
895	2202	255
896	2204	253
897	2206	250
898	2208	248
899	2210	245
900	2212	243
901	2214	240
902	2216	238
903	2217	235
904	2219	233
905	2222	230
906	2223	228
907	2226	225
908	2228	223
909	2229	220
910	2231	217
911	2232	215
912	2234	212
913	2236	210
914	2237	207
915	2239	205
916	2241	202
917	2242	200
918	2243	197
919	2245	195
920	2247	192
921	2249	190
922	2251	187
923	2253	185
924	2254	182
925	2256	180
926	2258	177
927	2260	175
928	2263	172
929	2264	170
930	2266	167
931	2268	165
932	2269	163
933	2272	160
934	2273	158
935	2275	155
936	2277	153
937	2278	150
938	2280	148
939	2281	145
940	2285	143
941	2288	140
942	2292	138
943	2294	136
944	2295	133
945	2297	131
946	2299	128
947	2302	126
948	2305	123
949	2307	121
950	2311	119
951	2313	116
952	2315	114
953	2319	111
954	2321	109
955	2323	106
956	2325	104
957	2328	102
958	2332	99
959	2337	97
960	2340	94
961	2343	92
962	2348	90
963	2351	87
964	2354	85
965	2357	82
966	2359	80
967	2363	78
968	2366	75
969	2369	73
970	2372	70
971	2374	68
972	2379	66
973	2382	63
974	2384	61
975	2387	58
976	2388	56
977	2392	53
978	2396	51
979	2398	48
980	2401	46
981	2403	44
982	2405	41
983	2408	39
984	2410	36
985	2418	34
986	2420	31
987	2422	29
988	2425	26
989	2428	24
990	2430	22
991	2432	19
992	2434	17
993	2437	14
994	2439	12
995	2448	9
996	2450	7
997	2452	4
998	2456	2
999	2460	0
